RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2023-11-30,2024-01-31,2024-10-31
394440,78,"Cape Coral, FL",msa,FL,2023-10-31,-0.3,-1.1,0.6
394399,79,"Boise City, ID",msa,ID,2023-10-31,0.2,0.1,1.4
394484,80,"Colorado Springs, CO",msa,CO,2023-10-31,-0.1,-0.6,-1.2
394798,81,"Little Rock, AR",msa,AR,2023-10-31,0.1,-0.5,-2.2
394766,82,"Lakeland, FL",msa,FL,2023-10-31,-0.1,-0.7,0.7
394304,83,"Akron, OH",msa,OH,2023-10-31,0.2,-0.2,-1.0
394531,84,"Des Moines, IA",msa,IA,2023-10-31,0.0,-0.4,-2.4
395115,85,"Springfield, MA",msa,MA,2023-10-31,0.2,0.1,-0.6
394931,87,"Ogden, UT",msa,UT,2023-10-31,0.3,0.3,1.6
394816,88,"Madison, WI",msa,WI,2023-10-31,0.1,-0.3,-1.4
395235,89,"Winston, NC",msa,NC,2023-10-31,0.3,0.4,1.1
394528,90,"Deltona, FL",msa,FL,2023-10-31,-0.1,-0.8,0.2
395143,91,"Syracuse, NY",msa,NY,2023-10-31,0.4,0.3,0.3
395006,92,"Provo, UT",msa,UT,2023-10-31,0.1,0.0,0.4
395160,93,"Toledo, OH",msa,OH,2023-10-31,0.4,0.3,-0.7
395224,94,"Wichita, KS",msa,KS,2023-10-31,-0.1,-0.4,-0.5
394549,95,"Durham, NC",msa,NC,2023-10-31,0.2,0.1,0.9
394352,96,"Augusta, GA",msa,GA,2023-10-31,0.1,-0.1,0.3
394957,97,"Palm Bay, FL",msa,FL,2023-10-31,0.1,-0.3,0.6
394711,98,"Jackson, MS",msa,MS,2023-10-31,-0.3,-0.8,-2.4
394666,99,"Harrisburg, PA",msa,PA,2023-10-31,0.0,-0.3,-1.1
395113,100,"Spokane, WA",msa,WA,2023-10-31,-0.1,-0.6,0.6
395075,101,"Scranton, PA",msa,PA,2023-10-31,0.3,0.2,-0.4
394460,102,"Chattanooga, TN",msa,TN,2023-10-31,0.1,0.2,1.1
394871,103,"Modesto, CA",msa,CA,2023-10-31,0.2,-0.3,-1.4
394768,104,"Lancaster, PA",msa,PA,2023-10-31,0.2,0.1,-0.4
394997,105,"Portland, ME",msa,ME,2023-10-31,0.5,0.6,1.8
395245,106,"Youngstown, OH",msa,OH,2023-10-31,0.3,0.2,0.1
394770,107,"Lansing, MI",msa,MI,2023-10-31,0.2,-0.2,-1.4
394590,108,"Fayetteville, AR",msa,AR,2023-10-31,0.2,0.0,1.5
394589,109,"Fayetteville, NC",msa,NC,2023-10-31,0.2,0.2,1.3
394792,110,"Lexington, KY",msa,KY,2023-10-31,0.3,0.2,0.0
394971,111,"Pensacola, FL",msa,FL,2023-10-31,0.0,0.0,1.4
395068,112,"Santa Rosa, CA",msa,CA,2023-10-31,-0.1,-1.0,-4.8
395019,113,"Reno, NV",msa,NV,2023-10-31,0.0,-0.7,-1.9
394698,114,"Huntsville, AL",msa,AL,2023-10-31,-0.1,-0.4,0.9
394995,115,"Port St. Lucie, FL",msa,FL,2023-10-31,0.2,0.1,1.8
394761,116,"Lafayette, LA",msa,LA,2023-10-31,-0.4,-1.5,-6.2
394898,117,"Myrtle Beach, SC",msa,SC,2023-10-31,-0.1,-0.6,0.5
395116,118,"Springfield, MO",msa,MO,2023-10-31,0.1,0.1,1.1
395195,119,"Visalia, CA",msa,CA,2023-10-31,0.1,-0.3,-0.8
394746,120,"Killeen, TX",msa,TX,2023-10-31,-0.4,-1.3,-0.4
394338,121,"Asheville, NC",msa,NC,2023-10-31,0.3,0.3,0.5
395244,122,"York, PA",msa,PA,2023-10-31,0.1,0.0,-0.5
395183,123,"Vallejo, CA",msa,CA,2023-10-31,-0.1,-0.7,-3.2
753917,124,"Santa Maria, CA",msa,CA,2023-10-31,0.4,0.1,0.5
395050,125,"Salinas, CA",msa,CA,2023-10-31,0.3,0.0,-0.8
395048,126,"Salem, OR",msa,OR,2023-10-31,-0.1,-0.4,-1.2
394870,127,"Mobile, AL",msa,AL,2023-10-31,-0.1,-0.2,-0.5
395015,128,"Reading, PA",msa,PA,2023-10-31,0.3,0.4,0.4
394502,129,"Corpus Christi, TX",msa,TX,2023-10-31,-0.3,-1.0,-3.4
394421,130,"Brownsville, TX",msa,TX,2023-10-31,-0.2,-0.8,-0.6
394820,131,"Manchester, NH",msa,NH,2023-10-31,0.5,0.5,1.2
394612,132,"Fort Wayne, IN",msa,IN,2023-10-31,0.2,0.2,1.0
394658,133,"Gulfport, MS",msa,MS,2023-10-31,0.1,-0.1,-1.0
395051,134,"Salisbury, MD",msa,DE,2023-10-31,0.1,0.1,0.3
394596,135,"Flint, MI",msa,MI,2023-10-31,0.4,0.4,0.4
394972,136,"Peoria, IL",msa,IL,2023-10-31,0.4,0.1,-2.6
394439,137,"Canton, OH",msa,OH,2023-10-31,0.2,-0.1,-1.0
395070,138,"Savannah, GA",msa,GA,2023-10-31,0.4,0.5,1.8
394327,139,"Anchorage, AK",msa,AK,2023-10-31,-0.3,-1.4,-4.4
394372,140,"Beaumont, TX",msa,TX,2023-10-31,-0.8,-2.2,-6.1
395096,141,"Shreveport, LA",msa,LA,2023-10-31,0.2,-0.6,-5.1
395164,142,"Trenton, NJ",msa,NJ,2023-10-31,0.4,0.3,0.2
394875,143,"Montgomery, AL",msa,AL,2023-10-31,0.1,-0.3,-1.5
394520,144,"Davenport, IA",msa,IL,2023-10-31,-0.1,-0.6,-3.6
395146,145,"Tallahassee, FL",msa,FL,2023-10-31,0.2,0.1,-0.2
394576,146,"Eugene, OR",msa,OR,2023-10-31,-0.2,-0.6,-0.9
394901,147,"Naples, FL",msa,FL,2023-10-31,0.2,0.1,2.5
394332,148,"Ann Arbor, MI",msa,MI,2023-10-31,-0.1,-0.5,-3.1
394927,149,"Ocala, FL",msa,FL,2023-10-31,-0.1,-0.7,1.2
394679,150,"Hickory, NC",msa,NC,2023-10-31,0.3,0.5,2.2
394697,151,"Huntington, WV",msa,OH,2023-10-31,-0.2,-0.6,-3.5
394602,152,"Fort Collins, CO",msa,CO,2023-10-31,-0.1,-0.9,-2.5
395033,153,"Rockford, IL",msa,IL,2023-10-31,0.6,1.0,0.8
394796,154,"Lincoln, NE",msa,NE,2023-10-31,-0.2,-0.8,-1.7
394622,155,"Gainesville, FL",msa,FL,2023-10-31,0.2,0.1,0.4
